DATE (MM/DD/YYYY),KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,AVG Air Temperature [deg F],MAX Air Temperature [deg F],MIN Air Temperature [deg F],AVG Rel Humidity [%],MAX Rel Humidity [%],MIN Rel Humidity [%],AVG Avg Wind Speed @ 3m [MPH],MAX Avg Wind Speed @ 3m [MPH],MIN Avg Wind Speed @ 3m [MPH],AVG Peak Wind Speed @ 3m [MPH],MAX Peak Wind Speed @ 3m [MPH],MIN Peak Wind Speed @ 3m [MPH],AVG Station Pressure [inHg],MAX Station Pressure [inHg],MIN Station Pressure [inHg]
2024-06-01,331905.15,39378.06,132358.48,111.67,2832.48,517.7,94830,23707520,9060,132996,33240510,12706,9351,2337162,893,237177,59285192,1090738,158.863,7,87.5486,102.308,69.764,9.4729,18.91,3.423,6.2642,25.4116,0.0,9.3321,37.3568,0.0,27.2411,27.2839,27.1824
2024-06-02,323811.35,38948.97,130429.07,105.3,2775.34,507.25,92518,23129392,8839,131057,32755956,12521,8818,2203840,842,232392,58089187,1074525,154.683,1,86.2164,98.636,68.504,10.0702,19.55,4.172,6.7877,25.0313,0.0,10.2447,30.646,0.0,27.2472,27.285,27.1841
2024-06-03,344039.4,38442.09,134038.81,105.37,2887.75,527.8,98297,24574253,9391,134684,33662508,12868,8823,2205253,843,241804,60442013,1105344,165.944,2,85.4212,98.744,68.108,13.6332,26.75,5.339,6.4832,21.3627,0.0,9.7749,27.2906,0.0,27.2334,27.2749,27.1708
2024-06-04,344272.53,36420.75,134674.74,104.41,2895.21,529.16,98364,24590904,9398,135323,33822214,12929,8743,2185097,835,242429,60598215,1110454,167.158,3,86.3659,100.562,69.926,13.4004,25.77,5.982,5.9755,20.8259,0.0,9.0604,27.2906,0.0,27.2449,27.2745,27.21
2024-06-05,353097.07,35123.03,146207.15,99.64,3058.94,559.09,100885,25221230,9638,146911,36718464,14036,8343,2085318,797,256139,64025012,1203560,172.696,4,88.6836,102.56,71.204,13.454,24.02,8.01,6.1454,16.6652,0.0,9.1679,22.2575,0.0,27.2658,27.3137,27.2101
2024-06-06,377855.3,37442.14,156623.79,90.78,3259.57,595.75,107959,26989675,10314,157378,39334498,15036,7602,1899981,726,272938,68224154,1289268,184.847,5,92.0633,105.386,75.578,16.1628,28.7,9.02,6.6803,21.1614,0.0,9.7212,27.2906,0.0,27.247,27.2996,27.1803
2024-06-07,383775.8,35237.11,164632.16,90.72,3375.8,617.0,109650,27412568,10476,165425,41345721,15805,7596,1898628,726,282672,70656916,1353904,189.253,6,93.8615,108.338,78.206,13.0855,25.95,5.107,5.9316,25.1208,0.0,8.8651,32.3237,0.0,27.2422,27.2848,27.174
2024-06-08,349571.88,20552.07,162878.85,92.86,3240.2,592.21,99878,24969430,9542,163663,40905395,15636,7776,1943491,743,271317,67818316,1336594,178.662,7,90.3567,104.666,74.768,10.7404,18.7,5.406,6.9127,25.1208,0.0,10.4813,32.3237,0.0,27.2694,27.3095,27.2202
2024-06-09,340492.3,21798.01,163901.62,97.43,3226.05,589.62,97284,24320888,9294,164691,41162252,15735,8158,2038993,779,270132,67522133,1343905,173.053,1,89.2235,101.228,76.676,11.1282,20.45,5.917,5.7806,19.864,0.0,9.2027,28.9683,0.0,27.2956,27.3419,27.2373
2024-06-10,357849.87,38938.84,172368.96,96.76,3386.22,618.9,102243,25560716,9768,173199,43288741,16547,8102,2024992,774,283544,70874449,1413309,173.175,2,88.8541,103.244,72.464,13.1629,23.74,6.428,4.3825,20.8035,0.0,7.0109,25.6129,0.0,27.2767,27.3287,27.2097
2024-06-11,387676.32,39901.02,178374.62,97.61,3560.91,650.83,110765,27691177,10582,179234,44797002,17124,8173,2042844,781,298172,74531023,1464218,188.844,3,91.414,107.942,72.932,11.7579,21.37,5.006,4.7489,28.163,0.0,7.6569,35.6791,0.0,27.2677,27.3175,27.2
2024-06-12,373779.42,39499.46,176901.41,99.51,3497.72,639.28,106794,26698541,10203,177753,44427019,16983,8333,2082677,796,292880,73208237,1451098,181.519,4,92.7401,105.512,74.804,9.6082,19.6,5.225,7.653,23.9128,0.0,11.0767,32.3237,0.0,27.3052,27.3509,27.2535
2024-06-13,371333.9,21963.59,171349.26,96.75,3419.99,625.07,106095,26523861,10136,172174,43032654,16450,8101,2024835,774,286371,71581349,1406446,189.71,5,91.7609,101.57,79.322,10.0798,19.31,6.737,7.4818,21.8325,0.0,10.3157,28.9683,0.0,27.3054,27.3458,27.2673
